ID;Razón Social;País;DR Inscripción;Resolución Inscripción;Fecha Inscripción;Vigencia Hasta;DR Actualización;Resolución Actualización;Fecha Actualización;Estado
68;GOLDCORP TRADING GMBH;SUIZA;DR XV ;2259; 11-07-2018;jun-20;DR XV ;1973; 18-07-2019;PENDIENTE
69;MARUBENI COPPER HOLDINGS LIMITED;INGLATERRA;DR XV ;1370; 17-05-2018;jun-21;DR XV ;1739; 03-07-2020;PENDIENTE
70;GRÜNENTHAL FINANCE C.V.;HOLANDA;DR XV ;7817; 29-09-2014;jun-22;DR XV ;1221; 27-05-2021;ACTUALIZADO
71;EXPORT FINANCE AND INSURANCE CORPORATION;AUSTRALIA;DR XV ;2888; 30-10-2019;jun-22;DR XV ;1713; 21-07-2021;ACTUALIZADO
72;BANCO BTG PACTUAL S.A. LUXEMBOURG BRANCH;LUXEMBURGO;DR XV ;1540; 16-09-2015;jun-16;DR XV ;1568; 26-08-2016;EXCLUIDO
73;GLOBAL IMPACT FUNDS S.C.A. SICAR;LUXEMBURGO;DR XV ;1353; 21-07-2016;jun-17;DR XV ;1353; 21-07-2016;PENDIENTE
74;RP GLOBAL HOLDING SLU;ESPAÑA;DR XV ;1045; 18-05-2016;jun-19;DR XV ;2821; 24-08-2018;PENDIENTE
75;SUNEDISON YIELDCO ACQ1, LLC;DELAWARE-USA;DR XV ;1212; 15-06-2016;jun-22;DR XV ;1794; 28-07-2021;ACTUALIZADO
76;CHEMPRO FINANCE LIMITED;BERMUDAS;DR XV ;10591; 05-12-2013;jun-22;DR XV ;1601; 09-07-2021;ACTUALIZADO
77;SC SIERRA GORDA FINANCE B.V.;PAISES BAJOS;DR XV ;2386; 30-08-2019;jun-22;DR XV ;1570; 06-07-2021;ACTUALIZADO
78;SMM HOLLAND B.V.;HOLANDA;DR XV ;77312012246; 20-11-2012;jun-22;DR XV ;1675; 21-07-2021;ACTUALIZADO
79;DIVERSIFIED INTERNATIONAL FINANCE, LLC;DELAWARE-USA;DR XV ;79; 22-01-2016;jun-20;DR XV ;1884; 04-07-2019;PENDIENTE
80;CPP INVESTMENT BOARD PRIVATE DEBT HOLDINGS INC.;CANADÁ;DR XV ;77312010109; 25-09-2012;jun-22;DR XV ;1688; 21-07-2021;ACTUALIZADO
81;CENTRE DE COORDINATION NESTLE S.A.;BÉLGICA;DR XV ;6848; 25-08-2014;jun-20;DR XV ;1997; 24-07-2019;PENDIENTE
82;BARRY CALLEBAUT SERVICES N.V.;BÉLGICA;DR XV ;411; 09-03-2015;jun-15;DR XV ;411; 09-03-2015;PENDIENTE
83;TAM CAPITAL INC;ISLAS CAYMAN;DR XIII ;119; 05-03-2015;jun-15;DR XIII ;119; 05-03-2015;PENDIENTE
84;TAM CAPITAL 2 INC;ISLAS CAYMAN;DR XIII ;120; 05-03-2015;jun-15;DR XIII ;120; 05-03-2015;PENDIENTE
85;TAM CAPITAL 3 INC;ISLAS CAYMAN;DR XIII ;121; 05-03-2015;jun-15;DR XIII ;121; 05-03-2015;PENDIENTE
86;RABO FINANCE B.V.;HOLANDA;DR XV ;1043; 18-05-2016;jun-17;DR XV ;1043; 18-05-2016;PENDIENTE
87;FIRSTCITY COMMERCIAL CORPORATION;TEXAS-USA;DR XV ;1607; 02-03-2012;jun-13;DR XV ;5262; 25-06-2014;EXCLUIDO
88;HEWLETT-PACKARD COORDINATION CENTER CVBA/SCRL;BÉLGICA;DR XV ;4054; 25-05-2012;jun-13;DR XV ;5263; 25-06-2014;EXCLUIDO
89;UNION INVESTMENT REAL ESTATE GMBH;ALEMANIA;DR XV ;77312010472; 03-10-2012;jun-13;DR XV ;5264; 25-06-2014;EXCLUIDO
90;INTERNATIONAL PAPER INVESTMENTS (LUXEMBOURG) S.A.R.L.;LUXEMBURGO;DR XV ;366; 13-01-2014;jun-14;DR XV ;9168; 20-11-2014;EXCLUIDO
91;GENERAL MOTORS FINANCIAL INTERNACIONAL B.V. (EX MAC PAN EUROPEAN AUTO RECEIVABLES LENDING (PEARL) BV;HOLANDA;DR XV ;11756; 30-12-2014;jun-15;DR XV ;11756; 30-12-2014;PENDIENTE
92;PACIFIC HYDRO FINANCE COMPANY PTY LTD;AUSTRALIA;DR XV ;378; 01-03-2018;jun-21;DR XV ;1781; 10-07-2020;PENDIENTE
93;EIG ANDES FINANCING, LLC;WASHINGTON-USA;DR XV ;162; 05-02-2018;jun-21;DR XV ;1216; 08-06-2020;PENDIENTE
94;HOMESTEAD CAPITAL SOLUTIONS LLC;CONNECTICUT-USA;DR XV ;306; 09-02-2018;jun-20;DR XV ;1942; 12-07-2019;PENDIENTE
95;ERSTE ABWICKLUNGSANSTALT;ALEMANIA;DR XV ;572; 15-03-2016;jun-20;DR XV ;2298; 22-08-2019;PENDIENTE
96;PURACOR NV;BÉLGICA;DR XV ;3019; 07-12-2017;jun-20;DR XV ;2019; 25-07-2019;PENDIENTE
